기간	대분류	분류	도보	자전거	자전거+기타교통수단	오토바이	버스(버스간환승포함)	지하철(철도)	버스+지하철	택시	승용차	승용차+버스	승용차+지하철	기타
2017	지역대분류	서남권	13.9	1.6	0.2	0.5	27.3	13	20.7	0.1	21.3	0.8	0.4	0
2017	지역대분류	동남권	16.1	2.6	0.2	0.4	20.8	9	21.9	0.3	27.5	0.2	0.9	0.1
2017	종로구	종로구	15	2.5	-	1.1	30.2	8.8	16.9	-	23.2	0.3	2	-
2017	중구	중구	17.1	1.1	-	0.8	24.2	17.5	23.5	0.2	13.9	1.2	0.4	-
2017	용산구	용산구	13	2.2	0.2	0.2	34.3	16.3	16.7	0.1	16.6	0.4	-	-
2017	성동구	성동구	16.9	2.3	0.1	1.7	19.5	12.5	17.3	0.2	27.2	0.9	1.3	-
2017	광진구	광진구	9.9	2.3	0.3	0.9	27.8	19.4	17.9	0.2	19.8	0.3	0.7	0.5
2017	동대문구	동대문구	31.4	3.2	-	0.6	15	13.7	20.8	0.2	14	0.4	0.6	0.2
2017	중랑구	중랑구	15.1	4.1	-	0.4	24	10.7	18.3	0.2	27	0.1	0.1	-
2017	성북구	성북구	14.5	1.3	-	0.2	29.3	8.6	14.9	-	31.1	0	0.1	-
2017	강북구	강북구	18.2	1.8	-	0.5	34.3	8	17.3	0.1	18.3	0.9	0.7	-
2017	도봉구	도봉구	18.3	1.4	0.3	0.5	25.5	16.1	23	0.2	14.6	0.1	0.1	-
2017	노원구	노원구	21.2	1.2	-	0.2	21.7	15.7	15.2	0.3	22.6	0.6	0.9	0.3
2017	은평구	은평구	16.1	1.7	-	0.7	32.3	9.2	23.2	0.1	16.2	0.2	0.3	0.1
2017	서대문구	서대문구	17.1	2.6	-	0.9	30.8	14.3	15.8	-	16.3	0.3	1.9	-
2017	마포구	마포구	17	1.7	0.1	0.6	28.1	15.3	10	-	26.7	0.2	0.2	-
2017	양천구	양천구	9.7	1.3	0.1	0.5	27.9	3.7	32.3	0.2	23.3	0.7	0.2	0.1
2017	강서구	강서구	14.3	0.9	0.5	0.1	25	15.6	18.5	-	23.6	1.2	0.3	0.1
2017	구로구	구로구	15.8	2.3	-	0.5	24.8	15.9	16.1	0.1	23.6	0.5	0.2	-
2017	금천구	금천구	20	1.7	0.2	0.6	43.4	4.5	17.9	-	11.3	0.3	0	-
2017	영등포구	영등포구	14.8	2.2	0.7	0.9	19.8	15.7	24.9	0.2	18.4	1.9	0.6	-
2017	동작구	동작구	8.8	0.6	-	0.4	29	16.9	13.2	0	30.6	0.1	0.3	-
2017	관악구	관악구	15.4	2.4	0.2	0.9	27.4	15.4	20.7	-	16	0.6	0.9	0
2017	서초구	서초구	12.8	1.4	0.3	0.1	21.5	12	21.5	0.9	28.1	0.3	1	0.3
2017	강남구	강남구	19.1	1.7	-	0.6	17.3	10.9	19.7	0.1	29.4	0.1	1	0
2017	송파구	송파구	13	3.8	0.5	0.3	24.5	3.6	24	0.2	28.7	0.3	1.2	-
2017	강동구	강동구	21	2.9	-	0.4	18.7	12.6	21.9	0	22.1	0.1	0.2	0.1
