기간	대분류	분류	도보	자전거	자전거+기타교통수단	오토바이	버스	지하철(철도)	버스+지하철	택시	승용차	승용차+버스	승용차+지하철	기타
2019	지역대분류	서북권	14.4	3.5	0.1	0.6	31.2	8.7	24.8	0.1	16.1	0.2	0.3	0
2019	지역대분류	서남권	15.9	1.9	0	0.6	26.9	6.9	26.6	0.1	19.5	0.9	0.5	0.2
2019	지역대분류	동남권	14.6	2.1	0.2	0.2	25.2	11.5	18.1	0.1	26.8	0.5	0.8	0
2019	종로구	종로구	23.9	3.1	-	0.6	36.4	6.1	14.5	-	12.6	2.7	-	-
2019	중구	중구	12.5	0.3	-	0.7	35.9	6.4	29.1	0.2	14.6	-	0.3	-
2019	용산구	용산구	23.1	1.9	0.2	1.1	27.4	11.6	15.7	-	18.6	0.2	0.2	-
2019	성동구	성동구	18.8	1.5	0.3	1.2	15.9	10.8	26.4	0.4	23.4	0.4	0.8	0.1
2019	광진구	광진구	13.1	3.9	-	0.7	29.9	15.1	20.3	0.3	16.3	0.3	0.1	-
2019	동대문구	동대문구	17.6	3	0.1	0.1	29.2	6.4	20	-	23.2	-	0.4	-
2019	중랑구	중랑구	18.1	1.8	-	0.2	27.9	10.1	22.9	-	18.5	-	0.2	0.4
2019	성북구	성북구	22	1.6	-	1.3	28.3	6	24	-	15.8	0.6	0.3	-
2019	강북구	강북구	14	0.5	-	0.2	28	5.7	22.4	-	28.9	0	0.2	-
2019	도봉구	도봉구	18	2.6	-	0.2	24.1	10.4	24.2	1.4	17.1	1.4	0.5	0.2
2019	노원구	노원구	16.3	3.2	0.3	0.2	24.7	10.7	23.6	-	20.1	0.1	0.7	0.1
2019	은평구	은평구	8.6	2.3	-	0.4	37.4	9.2	24.2	0.2	17	0.4	0.2	-
2019	서대문구	서대문구	20.6	4.9	-	0.8	24.1	9.3	22.1	-	18.1	0.1	0.1	-
2019	마포구	마포구	16.4	3.7	0.4	0.8	29.6	7.7	27.7	0.2	13.1	-	0.4	0.1
2019	양천구	양천구	13.6	0.5	-	0.3	28	1.7	31.5	0.2	22.9	-	0.3	1
2019	강서구	강서구	13.1	2.4	-	0.3	24.7	5.8	32.7	-	16.5	2.8	1.7	-
2019	구로구	구로구	15	2	0.1	0.5	18.3	6.4	27.8	-	28.6	0.2	0.6	0.3
2019	금천구	금천구	22.1	1.7	0.2	0.6	27.4	9.1	15.1	-	23.3	0.4	0.1	-
2019	영등포구	영등포구	19.4	3.5	-	0.1	19.7	7.4	21.2	0.1	26.4	2	0.2	0.2
2019	동작구	동작구	13.8	1.6	-	1.6	39	6.1	25	0.2	12.4	0.1	0.2	-
2019	관악구	관악구	17.8	1.5	-	0.9	30	11.9	25	0.1	12.8	-	0.1	0
2019	서초구	서초구	13.6	2.9	-	0	23.7	12.6	24.2	0	22.1	0.1	0.7	-
2019	강남구	강남구	12.9	1.9	-	-	27.4	10.6	12.5	0	33.5	0.2	1	0
2019	송파구	송파구	15	2.2	0.4	0.4	25	12.5	17.7	0.2	25	0.8	0.8	0
2019	강동구	강동구	17.3	1.2	0.1	0.4	24.2	9.8	19.7	0.2	26	0.7	0.5	-
