기간	대분류	분류	도보	자전거	자전거+기타교통수단	오토바이	버스	지하철(철도)	버스+지하철	택시	승용차	승용차+버스	승용차+지하철	기타
2020	소득별	400-500만 미만	18.5	2.8	0.4	1	24.3	13.8	20.7	0	16.7	0.5	1	0.4
2020	소득별	500만 이상	15.2	2	0.3	0.6	21.2	14.6	22.4	0.1	20.4	0.9	1.9	0.3
2020	혼인상태별	기혼	15.7	2.6	0.3	1	19.7	14.6	18.1	0.2	24.2	1.2	2.2	0.3
2020	혼인상태별	미혼	19.3	2.5	0.5	0.3	26.2	15.5	27.2	0.1	6.6	0.6	0.7	0.4
2020	혼인상태별	이혼/사별/기타	29.4	1.7	0.2	2.1	34.1	6	12.7	0.1	12.7	0.3	0.6	0.1
2020	지역대분류	도심권	24.5	2.3	0.4	1.5	24.9	10.6	17.7	0.1	15.6	0.9	1.4	0.2
2020	지역대분류	동북권	17.9	2.7	0.4	0.8	24.4	14.6	20.5	0.1	15.9	0.8	1.7	0.2
2020	지역대분류	서북권	16.4	2.5	0.2	0.9	28	12.9	22.8	0.2	13.6	0.8	1.4	0.2
2020	지역대분류	서남권	18.3	2.1	0.5	0.9	22.4	14.1	23.5	0.1	15.7	0.9	1.2	0.4
2020	지역대분류	동남권	17.9	2.7	0.1	0.7	19.8	15.7	18.5	0.3	20.9	1.2	1.9	0.3
2020	종로구	종로구	21.3	3.1	0.2	1.4	27.9	9.7	17.9	0.2	16.3	1.6	0.4	-
2020	중구	중구	23.4	1.7	0.5	0.9	22.5	14.9	21.6	-	11.1	0.4	2.5	0.5
2020	용산구	용산구	27.2	2.1	0.5	2	24.3	8.7	15.3	0	17.7	0.7	1.3	0.2
2020	성동구	성동구	19.7	2.6	1.3	0.2	17	18.2	22.5	0	15.8	0.5	2	0.3
2020	광진구	광진구	24	2.9	-	0.5	21.6	18	19.6	0.1	11	0.9	1	0.3
2020	동대문구	동대문구	15.7	2.3	0.5	1.7	24.6	14.3	19.7	0.1	18.9	1.2	1.2	-
2020	중랑구	중랑구	14.2	2.8	0.6	0.5	26.6	15.3	19.2	-	18.3	0.8	1.5	0.1
2020	성북구	성북구	16.4	2.6	0.2	2.1	24.1	13.6	23.7	0.4	14.2	0.9	1.3	0.5
2020	강북구	강북구	17.6	2	0.1	0.8	24.5	11.6	20.5	0	20.5	0.6	1.7	0
2020	도봉구	도봉구	23.3	3	0.1	0.1	23	14.2	19	-	14	0.7	2.2	0.4
2020	노원구	노원구	15.4	3.1	0.4	0.3	29.9	12.8	20	-	15.2	0.5	2.2	0.2
2020	은평구	은평구	13.4	2.2	0.3	0	30.6	13.4	27	0.3	10.4	0.5	1.7	0.1
2020	서대문구	서대문구	14.9	2.6	0.1	1	26.5	12.8	23.4	0.3	15.5	1	1.5	0.4
2020	마포구	마포구	21.2	2.6	0.2	1.9	26.1	12.3	17.3	0.1	16	0.9	1.1	0.3
2020	양천구	양천구	17.9	2.7	0.4	0.1	21.1	8.8	26.3	0.1	20.1	0.9	1.2	0.4
2020	강서구	강서구	20.6	1.4	0.6	1.4	20	12.4	24.1	0.1	16.8	0.8	1.6	0.2
2020	구로구	구로구	20.4	2.2	0.5	0.8	21.1	15	20.6	-	17.6	0.6	1.1	0.1
2020	금천구	금천구	27	2.7	0.3	0.8	23.4	8.1	20.3	-	15	1.2	0.7	0.4
2020	영등포구	영등포구	15.8	2.6	0.3	0.2	19.1	19.5	23.5	-	15.8	1.1	1.8	0.2
2020	동작구	동작구	11.9	2.1	0.5	1.3	28.3	14.7	22.5	0	15.7	1.8	0.8	0.3
2020	관악구	관악구	17.3	1.9	0.4	1.1	24.2	18	25.2	0.1	9.5	0.4	0.9	1.1
2020	서초구	서초구	19.4	1.5	0.2	0.6	22.7	15.9	15.8	0.2	20.3	2	1.2	0.2
2020	강남구	강남구	16.1	2.3	0	0.4	16.2	14.2	23.1	0.4	23.5	1	2.7	0.2
2020	송파구	송파구	17.1	3.3	0.1	0.8	18.4	17.1	16.4	-	23	1	2.2	0.5
2020	강동구	강동구	19.5	3.7	0.2	1.1	23.5	15.5	18.9	0.5	15.2	1	0.9	0.2
